CODIGO ARTICULO,CLI,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARTICULO538,794,2,,,,,,,1,,
ARTICULO539,794,2,,,,,,,,,
,6754,2,,,,,,,,,
ARTICULO541,794,3,2,,,,,,,,
ARTICULO542,794,1,,,,,,,,,
,6853,,,1,,,,,,,
ARTICULO544,314,12,,,,,,,6,,
ARTICULO545,2574,,,,,,,,8,,
ARTICULO546,1824,,,,,3,,,,,
ARTICULO547,2273,25,,50,,,,,,,
,6630,,25,,,,,,,,
,9440,,,,,,,,50,,
ARTICULO550,6802,,,1,,2,,,,,
ARTICULO551,163,,,4,,,,,2,,4
ARTICULO552,314,,,,,,,,,60,
,1010,,1,,,,,,,,2
,6802,,,,,,,,,,2
ARTICULO555,311,3,5,15,,,,,,,
ARTICULO556,314,1,,,,,,,,,
,794,,,,,2,,,,,
,8984,,,,,,,,,1,
ARTICULO559,4267,1,,,1,,,,,,
ARTICULO560,794,,,2,,,,,,,
ARTICULO561,7974,,6,,,,,,5,,
ARTICULO562,427,2,,,,,,,,,
ARTICULO563,314,,,,14,9,,,,,
ARTICULO564,314,,,,2,1,,,,2,
,837,,,,2,1,1,1,,,2
ARTICULO566,222,1,1,1,1,,,1,1,,1
ARTICULO567,314,,,,1,,,,,,
ARTICULO568,314,,,,16,,,,,,
ARTICULO569,7176,2,,,,,,,,,
ARTICULO570,837,,3,5,,,,,,,
ARTICULO571,794,3,,,,,,,,,
ARTICULO572,1901,,10,,,,,,,,
,3971,,,,,"1,9",,,,,
ARTICULO574,314,,,,1,,,,,,
ARTICULO575,314,,,,1,,,,,,
ARTICULO576,314,,1,1,3,,,,,,
,5764,,,,,,,,,,1
ARTICULO578,314,,3,,,,,,,,
ARTICULO579,6802,2,,,,,,,,,
ARTICULO580,238,1,,,1,,,,,,
ARTICULO581,3971,,,,,,,,,2,
ARTICULO582,238,3,,,,,,,,,
ARTICULO583,265,,,1,,2,,,,,
ARTICULO584,6802,,70,191,200,240,180,260,300,280,280
ARTICULO585,6787,,1,1,,,,,,,
,6802,28,43,30,,20,30,20,20,20,30
,9588,,,,,,,,1,,
ARTICULO588,1413,,,4,,,,,,,
,6802,,,,,,1,5,,,
ARTICULO590,7730,5,23,,,,,,,,
ARTICULO591,7730,,25,34,14,,,,,,
ARTICULO592,3902,,,,,2,,,,,
ARTICULO593,822,4,,,,,4,,,,
ARTICULO594,822,,,,,,1,,,,
ARTICULO595,794,,2,,,,2,,2,,
ARTICULO596,13027,,1,,,,,,,,
ARTICULO597,1901,,10,,,,,,,,
ARTICULO598,314,,2,,,,,,,,
ARTICULO599,794,,,,,,,,1,,
ARTICULO600,314,,,,1,,,,,,
ARTICULO601,5822,,,,,,,1,,,
,8984,,,,,,,1,,3,4
ARTICULO603,794,,1,,,,,,,,
ARTICULO604,7176,2,,,,,,,,,
,8923,,,,,,,,2,,
ARTICULO606,314,,,,,,,,1,,
,7176,3,,,,,,,,,
,8923,,,,,,,,2,,
,8984,,,,,1,,,,,
ARTICULO610,314,,,,3,,,,,,
ARTICULO611,794,1,,,,,,,,,
,1798,1,,,,,,,,,
,3881,1,,,,,,,,,
ARTICULO614,711,,,,,,,,,,1
,1185,3,,,12,,,,,,
,1395,1,,,,,,,,,
,1672,32,,,,,,,,,
,2559,,20,30,,20,30,,40,20,
,2822,39,,,,,,,,,
,3335,,,,6,,,,,,
,3671,5,,,5,,3,,,5,
,3797,,12,12,12,12,,,24,,48
,3817,,,,,,,,,6,4
,4121,10,20,60,,,,,,,30
,4147,,,,,12,,12,,,
,4696,,4,,5,,,,5,,
,6622,,,,,,8,8,8,,8
,8511,,,,,,,,,16,
,8946,,,,,4,,,,,4
,9451,,,,,,,,12,,
ARTICULO631,3335,,,,,,,,8,,2
,9441,,,,,,,10,,,
ARTICULO633,1841,,,4,4,,,,,2,
,2224,16,10,16,10,14,40,20,20,20,20
,2236,8,,,,,,,,,
,2471,2,,,,,,,,,
,2716,10,15,10,10,10,80,225,60,,40
,2799,31,34,32,3,16,40,,,,
,3066,,,8,,,,,,,
,3481,10,,,,,,,,,
